                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4955,                 3.6513,                 1.7263,                0.00956,                0.36032,                0.05956,                0.02708,                 1.5134,                 3.6432,                 1.9654,              2.727e-05,              2.727e-05,              2.727e-05
                      2,                 1.4935,                 3.7155,                 1.7663,                0.01435,                0.39263,                0.08305,                0.05156,                 1.4402,                 3.6375,                 1.8921,              6.237e-05,              6.237e-05,              6.237e-05
                      3,                 1.4153,                  3.687,                 1.6945,                0.02131,                0.45442,                0.12582,                0.08041,                 1.4201,                  3.644,                 1.8059,              9.603e-05,              9.603e-05,              9.603e-05
                      4,                 1.2397,                 3.3904,                 1.5551,                0.02392,                0.51054,                0.17587,                0.11304,                 1.3791,                 3.6052,                 1.7479,             0.00012825,             0.00012825,             0.00012825
                      5,                 1.2652,                  3.257,                 1.5096,                0.02445,                0.49626,                0.19976,                0.13397,                 1.3688,                 3.5607,                 1.7315,             0.00015903,             0.00015903,             0.00015903
                      6,                 1.1702,                 2.9948,                  1.517,                0.02562,                0.56769,                0.23742,                0.14837,                 1.3366,                 3.4751,                 1.6931,             0.00018837,             0.00018837,             0.00018837
                      7,                  1.205,                 2.7968,                 1.6114,                0.02545,                0.56927,                0.24854,                0.15638,                 1.3568,                 3.4308,                  1.705,             0.00021627,             0.00021627,             0.00021627
                      8,                 1.1393,                 2.6079,                 1.5718,                0.02629,                0.58458,                0.25004,                0.14673,                 1.3709,                 3.3196,                 1.7488,             0.00024273,             0.00024273,             0.00024273
                      9,                 1.2004,                 2.4678,                 1.6177,                0.02826,                0.62086,                0.27008,                0.15072,                 1.3888,                 3.2171,                 1.7854,             0.00026776,             0.00026776,             0.00026776
                     10,                 1.1407,                 2.3178,                  1.576,                0.92933,                 0.0555,                0.33778,                0.19931,                 1.3778,                 3.1043,                  1.768,             0.00029134,             0.00029134,             0.00029134
                     11,                 1.1263,                 2.0724,                 1.4838,                0.86695,                0.12534,                0.40195,                0.23462,                 1.3936,                 3.1216,                 1.8257,             0.00031348,             0.00031348,             0.00031348
                     12,                 1.1935,                  2.006,                 1.6181,                0.04475,                0.64209,                0.38392,                0.22745,                 1.3731,                 3.1382,                 1.7965,             0.00033418,             0.00033418,             0.00033418
                     13,                 1.1013,                  1.904,                 1.4817,                0.87062,                0.12365,                0.41761,                0.24216,                 1.4902,                 2.9926,                 1.8802,             0.00035344,             0.00035344,             0.00035344
                     14,                 1.1648,                 1.8044,                 1.5918,                0.88338,                0.15893,                0.47085,                0.27253,                  1.477,                 2.8903,                 1.8607,             0.00037126,             0.00037126,             0.00037126
                     15,                 1.1499,                   1.73,                 1.5271,                 0.9018,                0.19561,                0.54165,                0.32348,                 1.4062,                 2.6689,                 1.7767,             0.00038764,             0.00038764,             0.00038764
                     16,                 1.2827,                 1.8945,                 1.6338,                0.90058,                0.25475,                0.57547,                0.33381,                 1.4133,                 2.5743,                 1.8047,             0.00040259,             0.00040259,             0.00040259
                     17,                 1.1235,                 1.6248,                 1.5275,                0.88087,                0.36888,                0.59252,                 0.3327,                 1.4309,                 2.4883,                 1.8478,             0.00041609,             0.00041609,             0.00041609
                     18,                  1.121,                 1.5153,                 1.4932,                0.82388,                0.50463,                0.62722,                0.35081,                 1.4792,                 2.2037,                 1.9275,             0.00042815,             0.00042815,             0.00042815
                     19,                 1.2348,                 1.6774,                 1.5951,                0.76997,                0.51164,                0.62839,                0.35981,                   1.47,                 2.0468,                 1.9172,             0.00043877,             0.00043877,             0.00043877
                     20,                 1.0488,                 1.3868,                 1.4084,                0.76587,                0.50139,                0.63218,                0.37223,                 1.4243,                 1.9247,                 1.8727,             0.00044796,             0.00044796,             0.00044796
                     21,                 1.0898,                 1.3741,                 1.5236,                0.76771,                0.53284,                0.68296,                0.38047,                 1.4346,                 1.9697,                 1.8315,              0.0004557,              0.0004557,              0.0004557
                     22,                 1.0471,                 1.4037,                 1.4162,                0.75279,                0.57626,                0.73498,                0.41873,                 1.4223,                 1.9925,                 1.8014,               0.000462,               0.000462,               0.000462
                     23,                0.99815,                 1.2856,                 1.3894,                0.79407,                 0.5425,                0.77577,                0.44207,                 1.4387,                 1.9729,                 1.7869,             0.00046687,             0.00046687,             0.00046687
                     24,                  1.046,                 1.3349,                 1.3838,                0.83505,                0.56537,                 0.8074,                0.46273,                 1.3926,                  1.915,                 1.7322,             0.00047029,             0.00047029,             0.00047029
                     25,                 1.0505,                 1.2898,                 1.4009,                0.83509,                0.64842,                 0.8458,                0.49917,                 1.3875,                 1.7117,                 1.7308,             0.00047227,             0.00047227,             0.00047227
                     26,                 1.0248,                 1.2381,                 1.3947,                0.83835,                0.68029,                0.86511,                 0.5243,                 1.3477,                 1.5425,                 1.6954,             0.00045904,             0.00045904,             0.00045904
                     27,                0.95739,                 1.2184,                 1.3124,                0.77642,                0.76075,                0.86453,                0.52374,                 1.3313,                  1.464,                 1.6767,             0.00044105,             0.00044105,             0.00044105
                     28,                 1.1258,                 1.4925,                 1.5793,                0.80623,                0.75418,                0.87332,                0.50633,                 1.3628,                 1.4713,                 1.7213,             0.00042305,             0.00042305,             0.00042305
                     29,                0.98955,                 1.1198,                 1.3472,                0.83924,                0.70077,                0.87822,                0.50924,                 1.3837,                 1.5042,                   1.75,             0.00040505,             0.00040505,             0.00040505
                     30,                 0.9844,                 1.1845,                 1.3929,                0.86013,                0.71031,                0.88143,                0.52889,                  1.381,                 1.5119,                 1.7628,             0.00038705,             0.00038705,             0.00038705
                     31,                  0.956,                 1.2196,                 1.3756,                0.82575,                0.70244,                0.88367,                0.53595,                 1.3621,                 1.4678,                 1.7613,             0.00036905,             0.00036905,             0.00036905
                     32,                0.88018,                 1.1898,                 1.3464,                0.81105,                0.72141,                0.87813,                0.52428,                  1.355,                  1.435,                 1.7547,             0.00035106,             0.00035106,             0.00035106
                     33,                0.93848,                 1.0995,                 1.3407,                0.81088,                0.75853,                0.89742,                0.54913,                 1.3429,                 1.4044,                  1.733,             0.00033306,             0.00033306,             0.00033306
                     34,                0.91792,                 1.0797,                 1.3558,                0.79343,                0.75716,                0.88115,                0.54499,                 1.3186,                 1.3462,                 1.7022,             0.00031506,             0.00031506,             0.00031506
                     35,                0.99368,                 1.1056,                 1.3881,                0.77452,                0.78063,                0.88322,                0.54343,                  1.307,                 1.2869,                 1.6871,             0.00029706,             0.00029706,             0.00029706
                     36,                0.87541,                0.97269,                 1.2583,                0.81304,                0.78495,                0.90268,                0.55798,                 1.3135,                 1.2547,                 1.6847,             0.00027906,             0.00027906,             0.00027906
                     37,                0.86585,                 1.0369,                 1.2724,                0.88487,                0.81034,                0.89795,                0.55182,                 1.3215,                  1.232,                 1.6959,             0.00026106,             0.00026106,             0.00026106
                     38,                0.87155,                 1.0444,                 1.2485,                0.86891,                0.80551,                0.89497,                0.55113,                 1.3331,                 1.2139,                  1.717,             0.00024307,             0.00024307,             0.00024307
                     39,                0.83659,                0.97913,                 1.2804,                0.90575,                0.82859,                 0.9099,                0.55229,                 1.3423,                 1.1814,                 1.7367,             0.00022507,             0.00022507,             0.00022507
                     40,                0.90727,                 1.1612,                 1.3336,                0.90439,                0.83763,                0.90214,                 0.5506,                 1.3349,                 1.1694,                 1.7403,             0.00020707,             0.00020707,             0.00020707
                     41,                 1.2366,                 1.5468,                 1.6811,                0.89637,                0.83625,                0.89821,                0.53431,                 1.3374,                 1.1931,                  1.746,             0.00018907,             0.00018907,             0.00018907
                     42,                0.86587,                 1.2717,                 1.3519,                0.87752,                0.84077,                 0.8951,                0.52639,                 1.3953,                 1.2459,                 1.7917,             0.00017107,             0.00017107,             0.00017107
                     43,                0.82127,                 1.1072,                  1.345,                0.81909,                0.84784,                0.89287,                0.51065,                 1.4405,                 1.3101,                 1.8325,             0.00015308,             0.00015308,             0.00015308
                     44,                0.92462,                 1.1504,                 1.3493,                0.83533,                0.87501,                 0.9013,                0.49784,                 1.4513,                 1.3539,                 1.8546,             0.00013508,             0.00013508,             0.00013508
                     45,                0.85815,                 1.1521,                 1.3214,                0.88921,                0.88219,                  0.916,                0.51222,                 1.4556,                 1.3425,                 1.8768,             0.00011708,             0.00011708,             0.00011708
                     46,                 0.8706,                 1.0879,                 1.3746,                0.88948,                0.88265,                 0.9124,                0.52359,                 1.4337,                 1.3015,                 1.8526,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                0.85783,                 1.1115,                 1.4182,                0.89871,                0.88532,                0.91425,                0.54599,                   1.41,                 1.2414,                  1.825,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                0.84274,                 1.0948,                 1.2838,                0.91356,                0.89439,                0.92873,                0.56458,                 1.4009,                 1.1852,                 1.8118,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                0.72691,                 1.1578,                 1.2325,                0.93479,                0.89277,                 0.9298,                0.57146,                 1.3667,                  1.151,                 1.7762,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                0.96828,                 1.2213,                 1.4334,                0.93605,                0.89107,                0.92994,                0.57506,                 1.3508,                 1.1329,                 1.7585,             2.7088e-05,             2.7088e-05,             2.7088e-05
